IRI	Label	Issue
http://purl.obolibrary.org/obo/NOMEN_0000004	icn basionym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000023	iczn conserved work	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000031	iczn potentially validating	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000035	icn sanctioned name	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000042	iczn family name based on genus synonym replaced before 1961	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000044	iczn incorrect original spelling	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000061	iczn family-group name form	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000093	icnp unaccepting	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000094	icnp accepting	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000095	icnp conserved name	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000096	icnp synonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000097	icnp homonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000098	icnp usage	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000099	icnp misspelling	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000100	icnp misapplication	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000101	icnp homotypic synonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000102	icnp heterotypic synonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000106	iczn forgotten homonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000108	iczn suppressed homonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000112	iczn replaced homonym	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000121	ictv accepting	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000122	ictv unaccepting	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000123	ictv supressed	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000124	ictv uncertain placement	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000131	iczn subsequent combination	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000132	iczn original combination	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000133	iczn family-group name original form	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000134	icnp original combination	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000135	icnp subsequent combination	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000230	ictv	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000231	icnp	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000232	icn	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000233	iczn	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000264	iczn validating	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000266	iczn uncertain placement	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000268	iczn conserved name	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000269	iczn reinstated name	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000270	iczn replacement name	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000271	iczn first revisor action	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000272	iczn invalidating	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000273	iczn usage	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000274	iczn misapplication	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000275	iczn misspelling	not an RO property
http://purl.obolibrary.org/obo/NOMEN_0000276	iczn synonym	not an RO property
